1 pt 	No Carolina St. (5-4) -7.5	Thu 4:30 PM	WAKE FOREST (6-3) +7.5
 1 pt 	Washington (3-7) +3.5	Thu 5:15 PM	GREEN BAY (5-3-1) -3.5
 1 pt 	Colorado (3-7) +5.5	Fri 4:30 PM	HOUSTON (8-2) -5.5
 1 pt 	Kansas St. (4-5) +1.5	Fri 6:00 PM	ARIZONA (6-3) -1.5
 1 pt 	New Mexico (6-3) +15.5	Fri 7:00 PM	UCLA (3-6) -15.5
 1 pt 	Buffalo (5-5) -21.5	Sat 9:00 AM	KENT STATE (4-6) +21.5
 1 pt 	Wisconsin (3-6) +20.5	Sat 9:00 AM	#4 ALABAMA (8-1) -20.5
 1 pt 	Clemson (5-5) -3.5	Sat 9:00 AM	#14 GEORGIA TECH (8-1) +3.5
 1 pt 	Memphis (8-2) -4.5	Sat 9:00 AM	TROY (6-4) +4.5
 1 pt 	#7 Oregon (9-1) -27.5	Sat 9:00 AM	NORTHWESTERN (5-4) +27.5
 1 pt 	#11 Oklahoma (7-2) -24.5	Sat 9:00 AM	TEMPLE (5-5) +24.5
 1 pt 	Central Mich (6-4) +27.5	Sat 9:00 AM	#18 MICHIGAN (7-2) -27.5
 1 pt 	South Alabama (2-7) +25.5	Sat 9:45 AM	AUBURN (4-6) -25.5
 1 pt 	UL Lafayette (4-6) +27.5	Sat 10:00 AM	MISSOURI (6-3) -27.5
 1 pt 	Connecticut (7-3) -10.5	Sat 12:00 PM	DELAWARE (5-4) +10.5
 1 pt 	#17 USC (7-2) -21.5	Sat 12:30 PM	PURDUE (2-8) +21.5
 1 pt 	SMU (7-3) -27.5	Sat 12:30 PM	MISSOURI STATE (6-3) +27.5
 1 pt 	Oregon St. (2-8) +23.5	Sat 12:30 PM	#8 TEXAS TECH (9-1) -23.5
 1 pt 	#5 Georgia (8-1) -3.5	Sat 12:30 PM	#21 TENNESSEE (6-3) +3.5
 1 pt 	Washington St. (4-5) +5.5	Sat 12:30 PM	NORTH TEXAS (8-1) -5.5
 1 pt 	#23 Pittsburgh (7-2) -6.5	Sat 12:30 PM	WEST VIRGINIA (4-6) +6.5
 1 pt 	Iowa St. (6-4) -20.5	Sat 1:00 PM	ARKANSAS ST. (5-5) +20.5
 1 pt 	UTEP (2-7) +41.5	Sat 1:15 PM	#10 TEXAS (7-2) -41.5
 1 pt 	#25 S. Florida (7-2) +17.5	Sat 1:30 PM	#16 MIAMI FLA (7-2) -17.5
 1 pt 	Middle Tenn (1-8) +9.5	Sat 2:00 PM	NEVADA (1-8) -9.5
