 1 pt 	San Francisco (6-4) +5.5	Thu 5:15 PM	LA RAMS (7-2) -5.5
 1 pt 	Sam Houston State (1-8) -2.5	Thu 6:00 PM	NEW MEXICO ST. (3-6) +2.5
 1 pt 	Western Kentucky (7-2) +2.5	Fri 4:00 PM	DELAWARE (5-4) -2.5
 1 pt 	Charlotte 49ers (1-8) +27.5	Fri 4:00 PM	#25 S. FLORIDA (7-2) -27.5
 1 pt 	New Mexico (6-3) +2.5	Fri 7:00 PM	SAN JOSE ST. (3-6) -2.5
 1 pt 	West Virginia (4-6) +18.5	Fri 7:30 PM	#12 BYU (8-1) -18.5
 1 pt 	Colorado St. (2-7) +5.5	Fri 7:30 PM	SAN DIEGO ST. (7-2) -5.5
 1 pt 	Boston College (1-9) +6.5	Sat 9:00 AM	#23 PITTSBURGH (7-2) -6.5
 1 pt 	Clemson (5-5) -13.5	Sat 9:00 AM	NORTH CAROLINA (4-5) +13.5
 1 pt 	Air Force (3-6) +11.5	Sat 9:00 AM	NAVY (7-2) -11.5
 1 pt 	Wisconsin (3-6) +16.5	Sat 9:00 AM	#18 MICHIGAN (7-2) -16.5
 1 pt 	Ohio (6-4) -14.5	Sat 9:00 AM	BALL ST. (4-5) +14.5
 1 pt 	Army (5-4) -6.5	Sat 9:00 AM	UAB (3-6) +6.5
 1 pt 	Illinois (6-3) -9.5	Sat 9:00 AM	PURDUE (2-8) +9.5
 1 pt 	Kansas St. (4-5) +6.5	Sat 9:00 AM	BAYLOR (5-4) -6.5
 1 pt 	Iowa St. (6-4) +1.5	Sat 9:00 AM	#22 CINCINNATI (7-2) -1.5
 1 pt 	Kentucky (4-5) +20.5	Sat 9:00 AM	#5 GEORGIA (8-1) -20.5
 1 pt 	Wake Forest (6-3) +6.5	Sat 10:00 AM	VIRGINIA TECH (3-6) -6.5
 1 pt 	UTSA (4-5) -6.5	Sat 10:00 AM	TEMPLE (5-5) +6.5
 1 pt 	Western Mich (6-4) -12.5	Sat 11:30 AM	MASSACHUSETTS (0-10) +12.5
 1 pt 	Oklahoma St. (1-8) +20.5	Sat 12:00 PM	ARIZONA (6-3) -20.5
 1 pt 	Penn St. (3-6) -25.5	Sat 12:30 PM	UCLA (3-6) +25.5
 1 pt 	FIU (4-5) +7.5	Sat 12:30 PM	CONNECTICUT (7-3) -7.5
 1 pt 	#20 Virginia (8-2) +7.5	Sat 12:30 PM	#19 LOUISVILLE (7-3) -7.5
 1 pt 	Oregon St. (2-8) -1.5	Sat 12:30 PM	APPALACHIAN STATE (4-5) +1.5
 1 pt 	#13 Vanderbilt (8-2) +10.5	Sat 12:30 PM	#4 ALABAMA (8-1) -10.5
 1 pt 	Syracuse (3-7) +16.5	Sat 12:30 PM	SMU (7-3) -16.5
 1 pt 	UL Monroe (3-6) +10.5	Sat 12:30 PM	NORTHWESTERN (5-4) -10.5
 1 pt 	Eastern Mich (3-7) +9.5	Sat 12:30 PM	BUFFALO (5-5) -9.5
 1 pt 	Central Mich (6-4) -8.5	Sat 12:30 PM	AKRON (4-7) +8.5
 1 pt 	#24 James Madison (8-1) -19.5	Sat 12:30 PM	GEORGIA ST. (1-8) +19.5
 1 pt 	Miami Ohio (5-5) -4.5	Sat 12:30 PM	NORTHERN ILL (3-7) +4.5
 1 pt 	Washington (6-3) -5.5	Sat 12:30 PM	MARYLAND (4-5) +5.5
 1 pt 	#10 Texas (7-2) -6.5	Sat 12:30 PM	FLORIDA (3-6) +6.5
 1 pt 	Boise St. (6-3) +20.5	Sat 12:30 PM	#9 NOTRE DAME (7-2) -20.5
 1 pt 	Texas State (3-6) -13.5	Sat 1:00 PM	ARKANSAS ST. (5-5) +13.5
 1 pt 	Kent State (4-6) +45.5	Sat 1:00 PM	#11 OKLAHOMA (7-2) -45.5
 1 pt 	Michigan St. (3-6) +10.5	Sat 1:00 PM	NEBRASKA (7-3) -10.5
 1 pt 	Coastal Carolina (6-3) +18.5	Sat 3:00 PM	OLD DOMINION (7-3) -18.5
 1 pt 	South Alabama (2-7) +2.5	Sat 4:00 PM	TROY (6-4) -2.5
 1 pt 	#8 Texas Tech (9-1) -11.5	Sat 4:00 PM	HOUSTON (8-2) +11.5
 1 pt 	Florida Atl. (4-5) +4.5	Sat 4:00 PM	RICE (5-5) -4.5
 1 pt 	UNLV (8-2) -3.5	Sat 4:00 PM	WYOMING (4-5) +3.5
 1 pt 	#16 Miami Fla (7-2) -4.5	Sat 4:30 PM	FLORIDA ST. (4-5) +4.5
 1 pt 	Colorado (3-7) +13.5	Sat 4:30 PM	TCU (6-3) -13.5
 1 pt 	Kansas (5-5) -4.5	Sat 4:30 PM	UCF (4-5) +4.5
 1 pt 	Minnesota (6-4) +23.5	Sat 4:30 PM	#1 OHIO ST. (9-0) -23.5
 1 pt 	Mississippi St. (5-5) +14.5	Sat 4:30 PM	#3 TEXAS A&M (9-0) -14.5
 1 pt 	Tulsa (2-7) +19.5	Sat 5:00 PM	MEMPHIS (8-2) -19.5
 1 pt 	Duke (5-4) -2.5	Sat 7:30 PM	CALIFORNIA (6-4) +2.5
 1 pt 	Nevada (1-8) +13.5	Sat 7:30 PM	FRESNO ST. (6-3) -13.5
 1 pt 	Minnesota (4-5) -3.5	Sun 6:30 AM	CLEVELAND (2-7) +3.5
 1 pt 	Dallas (3-5-1) -2.5	Sun 10:00 AM	NY JETS (2-8) +2.5
 1 pt 	Denver (8-2) +3.5	Sun 10:00 AM	PHILADELPHIA (7-2) -3.5
 1 pt 	Houston (4-5) +3.5	Sun 10:00 AM	BALTIMORE (4-5) -3.5
 1 pt 	NY Giants (2-8) +1.5	Sun 10:00 AM	NEW ORLEANS (2-8) -1.5
 1 pt 	Las Vegas (2-7) +6.5	Sun 10:00 AM	INDIANAPOLIS (8-2) -6.5
 1 pt 	Miami (3-7) +0.5	Sun 10:00 AM	CAROLINA (5-5) -0.5
 1 pt 	Tampa Bay (6-3) +3.5	Sun 1:05 PM	SEATTLE (7-2) -3.5
 1 pt 	Tennessee (1-8) +8.5	Sun 1:05 PM	ARIZONA (3-6) -8.5
 1 pt 	Washington (3-7) +2.5	Sun 1:25 PM	LA CHARGERS (7-3) -2.5
 1 pt 	Detroit (6-3) -9.5	Sun 1:25 PM	CINCINNATI (3-6) +9.5
 1 pt 	New England (9-2) +7.5	Sun 5:20 PM	BUFFALO (6-3) -7.5
 1 pt 	Kansas City (5-4) -3.5	Mon 5:15 PM	JACKSONVILLE (5-4) +3.5
