 1 pt 	Middle Tenn (1-8) +8.5	Wed 4:30 PM	DELAWARE (5-4) -8.5
 1 pt 	Missouri State (6-3) -1.5	Wed 6:00 PM	NEW MEXICO ST. (3-6) +1.5
 1 pt 	South Alabama (2-7) -6.5	Thu 4:30 PM	GEORGIA ST. (1-8) +6.5
 1 pt 	Minnesota (4-5) +3.5	Thu 5:15 PM	LA CHARGERS (7-3) -3.5
 1 pt 	North Texas (8-1) -26.5	Fri 4:00 PM	CHARLOTTE 49ERS (1-8) +26.5
 1 pt 	California (6-4) +4.5	Fri 4:30 PM	VIRGINIA TECH (3-6) -4.5
 1 pt 	Boise St. (6-3) -21.5	Fri 7:00 PM	NEVADA (1-8) +21.5
 1 pt 	Bowling Green (3-7) -8.5	Sat 9:00 AM	KENT STATE (4-6) +8.5
 1 pt 	Kansas St. (4-5) +2.5	Sat 9:00 AM	KANSAS (5-5) -2.5
 1 pt 	#25 S. Florida (7-2) -4.5	Sat 9:00 AM	MEMPHIS (8-2) +4.5
 1 pt 	Appalachian State (4-5) +13.5	Sat 9:00 AM	OLD DOMINION (7-3) -13.5
 1 pt 	Rutgers (5-5) -2.5	Sat 9:00 AM	PURDUE (2-8) +2.5
 1 pt 	Ohio (6-4) -12.5	Sat 9:00 AM	EASTERN MICH (3-7) +12.5
 1 pt 	SMU (7-3) -3.5	Sat 9:00 AM	WAKE FOREST (6-3) +3.5
 1 pt 	UCLA (3-6) +24.5	Sat 9:00 AM	#2 INDIANA (10-0) -24.5
 1 pt 	Northwestern (5-4) +7.5	Sat 9:00 AM	NEBRASKA (7-3) -7.5
 1 pt 	Syracuse (3-7) +17.5	Sat 9:00 AM	#14 GEORGIA TECH (8-1) -17.5
 1 pt 	#20 Virginia (8-2) -10.5	Sat 9:00 AM	NORTH CAROLINA (4-5) +10.5
 1 pt 	#6 Mississippi (9-1) +4.5	Sat 9:00 AM	#11 OKLAHOMA (7-2) -4.5
 1 pt 	Auburn (4-6) +0.5	Sat 9:45 AM	ARKANSAS (2-7) -0.5
 1 pt 	Akron (4-7) +9.5	Sat 10:00 AM	BUFFALO (5-5) -9.5
 1 pt 	Connecticut (7-3) -10.5	Sat 12:00 PM	RICE (5-5) +10.5
 1 pt 	Utah St. (5-4) +2.5	Sat 12:00 PM	NEW MEXICO (6-3) -2.5
 1 pt 	Illinois (6-3) +4.5	Sat 12:30 PM	WASHINGTON (6-3) -4.5
 1 pt 	Temple (5-5) -6.5	Sat 12:30 PM	TULSA (2-7) +6.5
 1 pt 	No Carolina St. (5-4) +6.5	Sat 12:30 PM	#23 PITTSBURGH (7-2) -6.5
 1 pt 	San Diego St. (7-2) -3.5	Sat 12:30 PM	FRESNO ST. (6-3) +3.5
 1 pt 	Massachusetts (0-10) +16.5	Sat 12:30 PM	CENTRAL MICH (6-4) -16.5
 1 pt 	Western Mich (6-4) +2.5	Sat 12:30 PM	MIAMI OHIO (5-5) -2.5
 1 pt 	Ball St. (4-5) +5.5	Sat 12:30 PM	NORTHERN ILL (3-7) -5.5
 1 pt 	#4 Alabama (8-1) -12.5	Sat 12:30 PM	SOUTH CAROLINA (3-6) +12.5
