 1 pt 	Jacksonville State (6-3) -5.5	Wed 4:30 PM	MIDDLE TENN (1-8) +5.5
 1 pt 	FIU (4-5) +3.5	Wed 5:00 PM	MISSOURI STATE (6-3) -3.5
 1 pt 	Marshall (4-5) -5.5	Thu 4:30 PM	COASTAL CAROLINA (6-3) +5.5
 1 pt 	Tulane (7-2) -3.5	Thu 4:30 PM	UTSA (4-5) +3.5
 1 pt 	Baltimore (4-5) -7.5	Thu 5:15 PM	MIAMI (3-7) +7.5
 1 pt 	Memphis (8-2) -14.5	Fri 4:00 PM	RICE (5-5) +14.5
 1 pt 	North Carolina (4-5) +1.5	Fri 4:30 PM	SYRACUSE (3-7) -1.5
 1 pt 	Sam Houston State (1-8) +16.5	Fri 5:00 PM	LOUISIANA TECH (5-4) -16.5
 1 pt 	Buffalo (5-5) +1.5	Sat 9:00 AM	BOWLING GREEN (3-7) -1.5
 1 pt 	Penn St. (3-6) +20.5	Sat 9:00 AM	#1 OHIO ST. (9-0) -20.5
 1 pt 	UCF (4-5) +4.5	Sat 9:00 AM	BAYLOR (5-4) -4.5
 1 pt 	West Virginia (4-6) +13.5	Sat 9:00 AM	HOUSTON (8-2) -13.5
 1 pt 	UAB (3-6) +11.5	Sat 9:00 AM	CONNECTICUT (7-3) -11.5
 1 pt 	Rutgers (5-5) +12.5	Sat 9:00 AM	ILLINOIS (6-3) -12.5
 1 pt 	Navy (7-2) +6.5	Sat 9:00 AM	NORTH TEXAS (8-1) -6.5
 1 pt 	#16 Miami Fla (7-2) -11.5	Sat 9:00 AM	SMU (7-3) +11.5
 1 pt 	#13 Vanderbilt (8-2) +1.5	Sat 9:00 AM	#10 TEXAS (7-2) -1.5
 1 pt 	Army (5-4) +0.5	Sat 9:00 AM	AIR FORCE (3-6) -0.5
 1 pt 	Duke (5-4) +3.5	Sat 9:00 AM	CLEMSON (5-5) -3.5
 1 pt 	Arizona St. (6-3) +5.5	Sat 10:00 AM	IOWA ST. (6-4) -5.5
 1 pt 	East Carolina (6-3) -4.5	Sat 11:00 AM	TEMPLE (5-5) +4.5
 1 pt 	New Mexico (6-3) +4.5	Sat 12:00 PM	UNLV (8-2) -4.5
 1 pt 	#19 Louisville (7-3) -10.5	Sat 12:00 PM	VIRGINIA TECH (3-6) +10.5
 1 pt 	#8 Texas Tech (9-1) -7.5	Sat 12:30 PM	KANSAS ST. (4-5) +7.5
